"neurons.1","neurons.DBT","neurons.DPT","neurons.RH","neurons.1.1","neurons.2","neurons.3","neurons.4","neurons.5","neurons.6","net.result"
1,22.6,21.7,95,1,1,0.998441089623049,0.000000000000000000000000930274260255377,1,1,0.999977853558867
1,23.4,18.5,74,1,1,0.999963650606458,0.00000000000000000000219038456182586,1,1,0.999977929976748
1,25,22.3,85,1,1,0.999990418191176,0.00000000000000000000000447822920349818,1,1,0.999977931317861
1,24.7,23.7,96,1,1,0.99991483729997,0.0000000000000000000000000811466385183725,1,1,0.999977927530887
1,26,22.3,80,1,1,0.99999885904629,0.0000000000000000000000126299568543085,1,1,0.999977931740749
1,23.8,21.8,88,1,1,0.999919825416938,0.00000000000000000000000426103978350376,1,1,0.999977927780836
1,23.3,20.6,85,1,1,0.999858734919389,0.0000000000000000000000257679350009484,1,1,0.999977924719461
1,25.3,20.5,75,1,1,0.999997781386175,0.000000000000000000000214442066632641,1,1,0.999977931686759
1,25,22.1,84,1,1,0.999991407908512,0.00000000000000000000000676977213528573,1,1,0.999977931367447
1,26,20.7,73,1,1,0.999999347575081,0.000000000000000000000249433360551111,1,1,0.999977931765225
1,23.3,22.1,93,1,1,0.999625821577838,0.00000000000000000000000098850078832423,1,1,0.999977913043782
1,26.4,21.3,74,1,1,0.999999613717961,0.000000000000000000000109312432330267,1,1,0.999977931778558
1,25.4,20.4,74,1,1,0.999998301798941,0.000000000000000000000292464666688828,1,1,0.999977931712832
1,23.6,20.3,82,1,1,0.999936643648503,0.0000000000000000000000653687049246848,1,1,0.999977928623559
1,22.6,21.1,91,1,1,0.99917768218661,0.00000000000000000000000443816453696177,1,1,0.999977890561694
1,24.9,19.9,75,1,1,0.999994874205316,0.000000000000000000000354328241811784,1,1,0.999977931541109
1,25.2,21.4,80,1,1,0.999995516989874,0.0000000000000000000000301075647939867,1,1,0.999977931573313
1,24.6,22,85,1,1,0.999983704526726,0.00000000000000000000000646077021624971,1,1,0.9999779309815
